# vim:ft=sh
# TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)

### Fonts ###
y,M,ttf-inconsolata,"is an alternative monospace font."
y,M,ttf-linux-libertine,"provides the sans and serif fonts."
y,M,ttf-jetbrains-mono,"provides the monospace font."
y,M,noto-fonts,"provides arabic and unicode characters."
y,M,noto-fonts-cjk,"provides the asian font set."
y,M,noto-fonts-emoji,"is an emoji font."
y,A,powerline-fonts-git,"provides patched fonts for powerline."

### Main programs ###
y,M,alacritty,"is the terminal emulator."
,M,bc,"is used for a dropdown calculator."
y,M,dmenu,"run launcher."
y,M,fzf,"is a fuzzy finder tool."
y,M,neovim,"a tidier vim with some useful features"
y,M,picom,"is for transparency and removing screen-tearing."
y,M,sddm,"is the display manager."
y,M,sxhkd,"is the hotkey daemon."
y,M,sxiv,"is a minimalist image viewer."
,M,xournalpp,"is a hand-written note taking program."
,M,youtube-dl,"can download any YouTube video (or playlist) when given the link."
y,M,zathura,"is a pdf viewer with vim-like bindings."
y,M,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
y,A,brave-bin,"is a browser with built-in adblocking, tor and other features."
y,A,lf,"is an extensive terminal file manager that everyone likes."
y,A,polybar,"is the status bar."
,A,sc-im,"is an Excel-like terminal spreadsheet manager."
y,A,sddm-breath2-theme,"provides the theme for the display manager."
y,A,task-spooler,"queues commands or files for download."
y,A,xinit-xsession,"provides desktop session for the xinitrc."

### FileSystem Utilities ###
y,M,ntfs-3g,"allows accessing NTFS partitions."
y,M,exfat-utils,"allows management of FAT drives."
y,M,dosfstools,"allows your computer to access dos-like filesystems."
y,A,simple-mtpfs,"enables the mounting of cell phones."

### Media Utilites ###
y,M,pulseaudio-alsa,"is the audio system."
y,M,pulsemixer,"is an audio controler."
y,M,pamixer,"is a command-line audio interface."
y,M,mediainfo,"shows audio and video information."

### Archive Utilites ###
y,M,atool,"manages and gives information about archives."
y,M,unrar,"extracts rars."
y,M,unzip,"unzips zips."

### Hardware Utilities ###
y,M,usbutils,"provides usb dignostic tools."
,M,hplip,"interface to communicate with hp printers."
,M,piper,"allows configuring gaming mouse."
y,M,xf86-input-evdev,"allows the use of a drawing tablet."
y,M,xorg-xinput,"tool to display hardware information of usb devices."
y,M,xorg-xkbutils,"tools to allow of creating custom keymaps."

### General Utilities ###
y,M,dash,"is default shell."
y,M,exa,"is ls replacment."
y,M,man-db,"lets you read man pages of programs."
y,M,ffmpeg,"can record and splice video and audio on the command line."
y,M,gnome-keyring,"serves as the system keyring."
,M,arandr,"is a UI for screen adjustment."
y,M,unclutter,"hides an inactive mouse."
y,M,reflector,"tool to generate pacman mirror lists."
y,M,perl-file-mimeinfo,"provides a more reliable way for xdg-open to determine filetype."
y,M,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
y,M,xclip,"allows for copying and pasting from the command line."
y,M,xdotool,"provides window action utilities on the command line."
y,M,xwallpaper,"sets the wallpaper."
y,M,xorg-xinit,"starts the graphical server."
y,M,xorg-server,"is the graphical server."
,M,xorg-xprop,"is a tool for detecting window properties."
,M,xorg-xwininfo,"allows querying information about windows."
y,M,xorg-xdpyinfo,"aids with resolution determination and screen recording."
y,M,xorg-xbacklight,"enables changing screen brightness levels."
y,A,dashbinsh,"provides pacman hook for dash."
y,A,vidir,"allows bulk file renaming."
y,A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme."
